#-------------------------------------------------------------------
# A2744 Spectroscopic Redshift Compilation.
# Benotto P. - Last compiled 2026-05-26
# Please always refer to the latest version of this catalogue: 
# https://pietrobenotto.github.io/research/A2744_redshift_compilation.txt
#
# This catalog compiles spectroscopic redshifts for the A2744 field.
# Redshifts within a 20' radius centered on the cluster are kept.
# The redshifts come from the following surveys:
#
#   - ASTRODEEP-JWST          (Merlin et al. 2024)
#   - UNCOVER                 (Prince et al. 2024)
#   - All the Little Things   (ALT, Naidu et al. 2024)
#   - NIRISS                  (Watson et al. 2025)
#   - DJA redshift compilation (Brammer & Valentino 2025,
#                               https://zenodo.org/records/15472354)
#                               v4.4, grade == 3 only
#   - MUSE surveys compilation:
#       Owers et al. 2011, Braglia et al. 2009, GLASS,
#       Richard et al. 2021, Bergamini et al. 2022,
#       Caminha MUSE DDT 2022, MUSE 2025 (PI: Matthee)
#-------------------------------------------------------------------
# ( 1)  RA           [Right Ascension J2000 (deg)]
#                       Right ascension from the same catalogue as the redshift.
# ( 2)  DEC          [Declination J2000 (deg)]
#                       Declination from the same catalogue as the redshift.
# ( 3)  ID           [Source identifier]
#                       Source identifier. A plain number is the ASTRODEEP ID of the
#                       nearest match within 1 arcsec. If no match exists, the original
#                       catalogue number is kept with a 3-letter prefix indicating its
#                       source. If multiple objects with different redshifts map to the
#                       same ID, a letter suffix is appended (_a, _b, ...).
# ( 4)  zspec        [Spectroscopic redshift]
#                       Spectroscopic redshift. If multiple sources lie within 1 arcsec
#                       and agree within 5% in redshift, only one entry is retained.
# ( 5)  source       [Origin of the redshift value]
# ( 6)  F090W_mag    [JWST/NIRCam F090W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 7)  F200W_mag    [JWST/NIRCam F200W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 8)  F444W_mag    [JWST/NIRCam F444W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
#-------------------------------------------------------------------
        RA          DEC            ID    zspec                               source  F090W_mag  F200W_mag  F444W_mag 
 3.5929870  -30.3993110         10000   0.3090                            ASTRODEEP    -99.000     18.277     19.200 
 3.5531762  -30.4045242         10004   4.7708                                  ALT     27.483     27.485     27.622 
 3.6091172  -30.4033372         10009   4.7394                                  ALT    -99.000     26.125     25.659 
 3.5532104  -30.4043743         10038   6.2387                                  ALT     27.970     28.098     27.871 
 3.6010570  -30.4039750         10061   6.3270                            ASTRODEEP    -99.000     27.657     27.625 
 3.6036430  -30.4043000         10065   0.2990                            ASTRODEEP    -99.000     28.147     28.023 
 3.6017690  -30.4029700         10078   2.8394                        Niriss_Watson    -99.000     24.151     24.104 
 3.5748920  -30.3983560         10084   0.3180                            ASTRODEEP     18.998     17.991     18.896 
 3.6106070  -30.4038110         10087   2.5608                        Niriss_Watson    -99.000     25.133     25.139 
 3.5883610  -30.3983330         10096   0.3170                            ASTRODEEP     19.114     18.069     18.885 
 3.5876550  -30.3963740         10100   0.3030                            ASTRODEEP     18.295     17.307     18.145 
 3.5615844  -30.4043240         10114   4.3345                                  ALT     29.080     29.447     29.304 
 3.5782910  -30.4013670       10117_a   0.5460                            ASTRODEEP     24.104     23.746     24.377 
 3.5779589  -30.4015990       10117_b   5.1404                                  DJA     24.104     23.746     24.377 
 3.5837020  -30.4040850       10129_a   4.7570                            ASTRODEEP     27.211     27.365     27.499 
 3.5841360  -30.4044440       10129_b   0.2750                        Niriss_Watson     27.211     27.365     27.499 
 3.6057610  -30.4036500         10138   5.0500                            ASTRODEEP    -99.000     26.114     25.893 
 3.5810020  -30.4043450         10143   5.1980                            ASTRODEEP     29.796     29.258     29.117 
 3.5884860  -30.4020800         10150   0.2990                            ASTRODEEP     22.029     21.152     22.117 
 3.5700590  -30.4036860         10151   5.5450                            ASTRODEEP    -99.000     26.575     25.912 
 3.6188570  -30.4038030         10156   2.1919                        Niriss_Watson    -99.000     28.178     27.888 
 3.5684122  -30.4020228         10159   0.3054                Bergamini22_MUSE_7420    -99.000     22.860     23.806 
 3.5812683  -30.4041826         10162   6.8724                                  ALT     30.626     29.149     28.883 
 3.5674060  -30.4025670         10171   2.5830                            ASTRODEEP     27.400     24.533     24.028 
 3.5772980  -30.4015910         10173   2.5910                            ASTRODEEP     24.154     22.674     22.506 
 3.5653634  -30.4033445         10189   2.1745                                  ALT     26.171     25.146     25.220 
 3.5529110  -30.4038710         10200   5.0200                            ASTRODEEP     27.076     27.609     27.447 
 3.6052530  -30.4007860         10201   0.3200                            ASTRODEEP    -99.000     19.140     20.051 
 3.5763899  -30.4025282         10205   3.9876                                  DJA     24.193     23.617     24.655 
 3.5947890  -30.3916210         10207   0.3010                            ASTRODEEP    -99.000     16.929     17.816 
